tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,churn
46,121.24,502,4,5.5,month-to-month,0,4,4.0,ads,C,1
22,46.71,224,3,7.6,one-year,1,2,5.0,ads,A,0
50,68.64,217,2,6.6,one-year,1,2,9.0,referral,B,0
37,86.92,502,1,1.1,month-to-month,1,2,8.0,ads,B,0
33,89.66,138,8,8.6,month-to-month,1,2,6.0,organic,B,0
45,39.8,475,3,10.3,month-to-month,0,3,6.0,partner,B,0
43,28.92,521,5,0.2,month-to-month,0,1,6.0,partner,A,0
31,134.12,648,2,9.6,month-to-month,0,2,5.0,ads,C,0
40,36.11,379,2,2.3,month-to-month,0,3,2.0,partner,A,0
54,103.92,278,1,6.1,two-year,1,4,9.0,referral,C,0
55,113.25,557,2,0.0,month-to-month,0,2,6.0,organic,C,0
8,122.65,389,1,11.7,month-to-month,0,3,3.0,organic,B,1
56,32.13,199,5,0.0,month-to-month,1,6,10.0,ads,A,0
48,58.82,16,1,9.6,one-year,0,3,6.0,ads,A,0
44,45.6,496,2,6.3,one-year,0,4,6.0,ads,B,0
33,26.21,523,0,7.3,month-to-month,1,3,8.0,referral,C,0
46,101.16,419,2,0.0,month-to-month,1,4,9.0,organic,C,0
51,39.57,414,7,2.1,one-year,0,2,6.0,organic,A,0
5,44.51,422,3,12.6,month-to-month,1,1,5.0,ads,B,1
56,76.1,396,0,4.8,one-year,1,2,6.0,partner,B,0
40,35.32,212,1,4.7,month-to-month,1,3,8.0,partner,A,0
52,101.88,373,2,3.9,two-year,1,2,8.0,ads,A,0
22,121.4,404,2,0.0,month-to-month,1,2,10.0,organic,B,0
14,98.86,550,3,2.5,month-to-month,1,1,4.0,referral,A,0
14,74.95,320,8,11.9,one-year,0,5,7.0,organic,B,1
25,127.99,364,4,0.0,month-to-month,0,1,7.0,ads,C,1
56,125.6,481,1,6.0,one-year,0,2,9.0,organic,C,0
55,138.25,333,0,0.0,month-to-month,0,3,7.0,ads,B,0
40,137.69,330,1,12.4,month-to-month,1,4,9.0,referral,B,0
43,125.21,225,2,2.7,month-to-month,1,4,4.0,referral,C,0
48,93.47,593,3,0.0,month-to-month,0,3,6.0,referral,A,0
51,22.05,483,4,9.9,month-to-month,1,2,8.0,referral,A,0
51,114.36,528,0,8.6,month-to-month,1,1,6.0,organic,B,0
67,82.76,351,2,1.8,two-year,1,3,10.0,ads,C,0
40,31.13,658,3,2.3,month-to-month,0,3,4.0,ads,A,0
32,114.84,461,3,5.1,two-year,1,3,7.0,referral,B,0
1,73.3,504,7,8.1,month-to-month,1,3,2.0,ads,B,1
53,66.83,461,2,5.8,month-to-month,0,4,8.0,ads,A,0
37,125.03,443,1,0.0,month-to-month,0,2,6.0,organic,A,1
39,58.0,439,1,5.4,one-year,0,4,5.0,ads,A,0
62,55.02,319,3,1.5,two-year,1,1,9.0,organic,C,0
23,50.8,466,5,4.5,month-to-month,1,2,6.0,ads,A,1
52,52.86,463,4,9.9,one-year,0,4,5.0,organic,A,0
42,93.21,374,3,0.0,month-to-month,0,4,4.0,referral,A,0
42,125.54,378,3,5.1,one-year,0,3,5.0,referral,A,0
29,144.82,431,3,0.0,month-to-month,0,4,6.0,ads,B,1
14,21.09,293,2,10.6,month-to-month,1,1,6.0,ads,C,1
53,49.13,441,4,2.4,month-to-month,1,1,6.0,partner,A,0
59,80.56,550,2,0.0,two-year,1,2,8.0,organic,A,0
48,148.54,254,5,1.2,two-year,1,1,6.0,referral,B,1
48,132.33,569,4,7.8,month-to-month,0,4,7.0,organic,A,0
12,61.21,323,1,0.0,one-year,1,5,10.0,referral,A,0
46,64.33,413,3,4.7,two-year,1,3,3.0,ads,C,0
28,23.53,536,1,3.9,month-to-month,1,5,8.0,referral,B,0
27,114.6,384,5,12.1,one-year,0,1,4.0,ads,A,1
27,119.96,491,6,5.2,month-to-month,1,2,3.0,ads,C,0
41,50.47,301,6,9.8,month-to-month,0,2,4.0,organic,A,0
22,127.25,483,4,11.8,month-to-month,0,1,5.0,ads,A,1
60,86.71,516,0,2.7,one-year,1,4,8.0,referral,B,0
30,80.59,346,6,7.8,month-to-month,1,3,10.0,referral,A,0
47,74.33,437,6,7.6,month-to-month,0,2,6.0,partner,B,0
36,97.26,454,2,4.0,month-to-month,0,3,3.0,ads,A,0
1,92.59,388,3,11.1,month-to-month,0,3,4.0,organic,A,1
17,114.1,343,4,6.3,one-year,0,2,3.0,partner,A,1
30,81.94,380,1,7.2,month-to-month,0,5,4.0,partner,B,1
43,50.67,405,2,13.9,one-year,1,3,6.0,organic,B,0
41,38.53,424,5,1.3,month-to-month,0,3,7.0,ads,A,0
23,45.6,458,6,3.8,two-year,0,3,8.0,partner,B,0
57,64.79,438,1,0.0,one-year,1,6,9.0,ads,B,0
68,142.08,374,1,6.6,month-to-month,0,3,8.0,partner,B,1
41,110.6,369,3,1.4,month-to-month,1,3,6.0,referral,A,1
30,74.83,498,5,2.0,month-to-month,1,2,8.0,organic,B,0
20,40.42,451,3,9.5,one-year,1,2,4.0,ads,A,0
47,115.35,444,3,6.0,one-year,0,4,6.0,organic,B,0
30,75.26,387,2,2.0,month-to-month,1,5,7.0,organic,B,0
72,120.05,283,0,0.0,two-year,1,4,10.0,referral,B,0
29,126.64,397,4,0.8,month-to-month,1,3,9.0,partner,C,0
50,96.23,434,4,8.8,month-to-month,0,3,7.0,organic,A,0
38,125.8,326,6,10.3,two-year,1,4,6.0,referral,A,0
29,95.32,801,6,5.5,month-to-month,1,3,4.0,partner,B,1
38,85.78,547,0,7.8,month-to-month,1,3,10.0,ads,B,0
33,119.71,415,1,0.4,two-year,1,4,9.0,organic,A,0
60,74.15,489,3,0.0,one-year,1,4,7.0,referral,B,0
24,100.7,433,4,5.5,month-to-month,0,3,3.0,partner,B,1
57,69.98,400,1,2.7,one-year,1,5,7.0,ads,B,0
15,141.82,643,4,5.9,two-year,0,4,4.0,partner,C,0
57,111.84,451,0,4.7,month-to-month,1,2,10.0,organic,B,0
53,133.27,290,2,0.0,one-year,1,5,9.0,referral,A,0
22,88.48,452,3,5.8,month-to-month,0,1,4.0,organic,B,1
41,135.27,434,2,8.8,one-year,0,3,2.0,ads,B,1
55,91.81,411,2,8.6,month-to-month,1,3,9.0,referral,B,0
22,118.13,469,4,6.2,month-to-month,0,2,7.0,ads,A,1
47,116.92,388,3,11.0,month-to-month,0,4,6.0,ads,A,0
42,31.42,176,4,0.0,one-year,1,2,8.0,ads,B,0
8,67.83,491,4,12.8,month-to-month,0,4,5.0,ads,C,1
47,148.67,356,2,0.4,month-to-month,1,3,7.0,partner,B,0
19,47.83,398,3,3.3,one-year,0,1,8.0,partner,B,0
61,66.55,397,2,2.9,one-year,1,4,9.0,ads,B,0
26,147.11,496,4,4.8,one-year,0,3,6.0,ads,A,1
33,63.05,503,5,2.2,month-to-month,1,2,8.0,partner,B,0
32,127.18,339,3,0.4,one-year,1,2,9.0,ads,A,0
36,76.46,500,6,2.8,month-to-month,0,3,4.0,ads,B,0
21,141.47,324,6,0.5,one-year,0,3,7.0,organic,B,0
35,97.89,622,1,4.2,month-to-month,0,4,10.0,referral,C,0
22,146.34,274,5,13.5,month-to-month,0,1,6.0,ads,C,0
62,34.39,496,2,3.7,one-year,0,5,9.0,partner,B,0
34,55.2,442,3,0.5,one-year,1,5,8.0,referral,B,0
56,97.77,520,3,3.3,two-year,1,3,9.0,referral,A,0
37,34.72,371,3,0.1,month-to-month,0,1,4.0,partner,A,0
32,116.4,621,3,12.6,one-year,1,5,4.0,organic,C,0
38,141.19,376,1,2.2,two-year,1,4,9.0,referral,A,0
23,102.9,556,3,0.0,month-to-month,1,2,6.0,referral,A,0
6,111.11,135,3,9.2,two-year,1,3,7.0,referral,A,1
36,40.39,399,3,3.1,two-year,0,3,10.0,partner,A,0
46,103.05,585,6,4.3,month-to-month,0,4,8.0,partner,B,0
22,76.52,451,0,11.5,month-to-month,1,6,7.0,referral,C,0
50,118.04,774,1,1.0,month-to-month,0,3,6.0,ads,A,0
13,59.8,686,0,9.1,two-year,0,3,5.0,organic,A,0
60,106.4,241,3,1.2,month-to-month,1,4,10.0,organic,A,0
52,30.04,826,4,0.0,one-year,1,2,7.0,ads,A,0
12,60.37,532,2,7.0,month-to-month,0,2,4.0,ads,B,0
46,97.91,487,3,1.0,one-year,0,1,10.0,ads,A,0
18,94.26,223,3,0.0,month-to-month,0,5,5.0,ads,A,1
56,95.74,554,2,0.0,one-year,0,5,7.0,organic,A,0
53,80.53,568,1,0.0,one-year,0,4,9.0,referral,A,0
27,98.63,366,0,4.7,month-to-month,0,1,7.0,ads,A,0
71,56.47,618,1,0.0,month-to-month,0,4,6.0,referral,A,0
51,78.07,249,2,0.0,two-year,1,2,7.0,referral,B,0
36,40.55,426,4,0.0,one-year,0,4,7.0,referral,B,0
57,66.09,610,1,0.0,two-year,0,6,10.0,organic,C,0
32,105.71,334,5,3.5,month-to-month,0,3,7.0,referral,A,0
28,93.52,374,3,3.4,month-to-month,0,1,4.0,ads,C,0
63,24.67,346,4,14.4,two-year,0,1,2.0,ads,A,1
32,111.86,374,4,5.6,one-year,0,1,7.0,organic,B,1
5,97.57,408,4,8.2,month-to-month,0,2,4.0,referral,B,1
32,70.73,374,5,0.0,month-to-month,1,2,8.0,ads,B,0
10,97.83,752,2,8.5,month-to-month,1,2,7.0,organic,B,0
41,27.75,344,1,0.0,month-to-month,0,5,8.0,referral,A,0
6,117.88,391,3,15.2,one-year,1,2,10.0,referral,A,0
40,98.98,304,1,0.0,two-year,1,3,10.0,referral,C,0
10,51.42,249,1,0.5,month-to-month,1,3,3.0,ads,B,0
72,22.99,482,0,0.0,two-year,1,5,10.0,ads,B,1
44,102.87,622,4,0.7,month-to-month,1,5,7.0,referral,A,0
30,133.03,678,6,1.9,one-year,1,5,7.0,partner,B,0
22,34.88,516,4,13.1,month-to-month,0,2,7.0,partner,C,0
21,136.55,422,0,8.0,one-year,1,3,10.0,partner,A,0
41,128.81,603,4,3.3,month-to-month,0,1,7.0,partner,A,0
72,81.77,409,2,5.9,one-year,1,2,6.0,referral,A,0
48,70.27,591,0,8.3,one-year,0,3,9.0,ads,B,0
29,50.57,338,7,4.2,one-year,0,2,7.0,referral,B,0
4,27.91,637,2,3.9,one-year,0,1,5.0,partner,C,0
4,55.67,403,2,13.7,month-to-month,0,1,3.0,partner,A,1
37,126.53,596,5,9.8,one-year,0,4,8.0,referral,C,0
62,82.63,652,0,0.0,month-to-month,0,2,10.0,ads,C,0
42,25.72,449,2,9.0,one-year,1,5,5.0,organic,B,0
33,87.6,426,2,3.7,one-year,0,1,6.0,ads,B,1
49,115.21,599,2,5.0,month-to-month,0,5,6.0,referral,B,0
48,118.0,519,2,0.0,month-to-month,0,2,4.0,ads,A,0
16,130.68,593,4,7.3,month-to-month,1,1,5.0,ads,B,1
40,113.61,528,5,4.0,month-to-month,1,3,5.0,ads,A,0
24,21.03,469,6,12.8,month-to-month,1,3,4.0,partner,A,0
23,74.25,529,3,0.9,month-to-month,0,3,3.0,partner,A,1
45,63.6,446,4,0.0,month-to-month,0,2,5.0,referral,B,0
68,79.19,282,4,0.5,one-year,1,3,6.0,organic,A,0
29,123.06,478,4,2.1,one-year,1,4,6.0,ads,A,0
56,24.97,360,2,0.0,month-to-month,1,4,7.0,organic,A,0
42,107.32,317,3,0.0,month-to-month,1,3,3.0,ads,A,0
36,72.82,385,1,9.8,two-year,1,3,6.0,ads,A,0
55,149.8,269,5,7.8,one-year,1,5,8.0,referral,C,0
51,57.91,17,2,4.2,two-year,0,3,8.0,ads,B,0
62,83.67,512,1,0.6,month-to-month,1,5,7.0,organic,A,0
66,143.14,346,0,0.0,month-to-month,1,5,10.0,organic,B,0
22,41.52,457,4,0.0,one-year,0,3,6.0,referral,A,0
50,94.83,400,2,4.8,month-to-month,0,4,7.0,referral,B,0
15,101.15,552,1,3.1,two-year,1,4,9.0,organic,B,0
62,100.48,359,0,0.0,month-to-month,0,4,4.0,referral,B,0
51,119.15,256,2,5.3,one-year,1,3,6.0,partner,B,0
39,37.62,531,3,5.8,two-year,0,2,7.0,partner,B,0
21,112.74,111,3,11.0,month-to-month,0,1,6.0,ads,A,0
32,41.06,449,5,4.4,month-to-month,1,3,4.0,ads,A,1
31,76.3,447,5,14.0,month-to-month,0,2,6.0,organic,B,1
39,138.6,504,0,9.2,one-year,0,4,7.0,ads,C,0
72,40.75,733,2,0.0,one-year,1,2,6.0,referral,A,0
11,111.44,371,1,8.0,month-to-month,0,2,2.0,ads,C,0
58,103.53,481,1,0.5,month-to-month,0,3,7.0,ads,A,0
23,114.59,504,4,9.6,month-to-month,0,3,5.0,ads,C,0
21,137.92,432,3,5.0,one-year,1,1,6.0,referral,B,0
69,124.93,313,1,7.5,month-to-month,1,4,9.0,referral,C,0
16,90.76,219,4,0.1,month-to-month,1,4,5.0,organic,C,0
22,46.85,330,8,9.3,month-to-month,1,3,2.0,ads,B,1
42,39.45,240,1,0.0,month-to-month,1,3,6.0,ads,A,0
33,28.27,256,1,3.5,month-to-month,1,5,5.0,ads,C,0
32,83.26,427,3,9.7,month-to-month,0,4,4.0,referral,B,1
47,132.95,250,0,9.1,one-year,1,1,8.0,ads,A,0
24,48.23,499,5,1.5,month-to-month,1,4,7.0,ads,A,0
27,137.41,274,3,3.1,month-to-month,0,4,4.0,organic,B,0
59,40.07,527,1,1.7,month-to-month,1,5,8.0,organic,A,0
35,135.64,295,5,6.9,month-to-month,1,2,9.0,organic,A,0
46,110.62,510,6,9.2,month-to-month,0,1,4.0,ads,A,1
27,54.53,446,2,0.0,month-to-month,1,1,5.0,ads,C,0
43,147.33,494,1,1.8,one-year,1,4,2.0,organic,A,0
40,77.67,366,1,1.1,one-year,1,5,10.0,partner,A,0
10,43.59,357,4,0.7,one-year,0,3,3.0,referral,A,0
36,109.07,647,2,7.3,two-year,0,4,7.0,ads,B,0
52,41.37,289,3,0.0,month-to-month,1,3,10.0,referral,C,0
60,135.78,316,5,1.1,month-to-month,0,4,8.0,organic,B,0
45,140.03,165,3,12.0,month-to-month,0,2,4.0,partner,A,0
72,29.23,325,1,6.5,month-to-month,1,3,3.0,referral,A,0
34,82.48,228,3,13.2,month-to-month,0,3,3.0,partner,B,1
18,28.32,636,4,11.6,month-to-month,0,3,6.0,ads,C,0
64,68.19,510,1,0.0,month-to-month,1,3,10.0,referral,A,0
37,112.03,339,1,5.2,month-to-month,0,2,6.0,referral,A,0
35,67.73,525,7,8.4,month-to-month,1,4,4.0,ads,B,0
28,141.14,56,3,6.0,two-year,1,5,9.0,referral,C,0
72,50.44,277,0,0.0,two-year,1,5,8.0,referral,A,0
61,43.45,515,1,0.0,month-to-month,0,4,8.0,partner,A,0
1,104.92,269,4,10.5,month-to-month,1,1,4.0,partner,C,1
20,138.96,336,5,4.0,month-to-month,0,3,5.0,partner,B,0
63,21.28,542,2,0.0,month-to-month,1,3,8.0,referral,A,0
45,125.24,470,4,5.7,month-to-month,1,4,9.0,ads,C,0
22,88.87,259,0,3.7,month-to-month,1,2,8.0,referral,C,0
56,28.99,372,2,6.9,one-year,1,3,10.0,ads,B,0
1,105.99,339,7,4.8,month-to-month,1,3,4.0,ads,B,1
34,74.61,330,5,0.0,month-to-month,1,3,8.0,ads,C,0
14,74.71,342,6,12.9,month-to-month,0,2,3.0,ads,A,1
15,31.46,579,4,8.1,month-to-month,1,1,2.0,ads,C,0
10,108.78,316,2,5.5,two-year,0,4,7.0,partner,A,0
23,34.15,573,8,6.7,month-to-month,1,2,4.0,organic,A,1
47,83.05,532,1,2.9,one-year,0,4,6.0,organic,B,0
28,128.0,545,5,9.5,one-year,0,1,5.0,ads,C,0
17,116.81,488,6,7.7,month-to-month,0,4,7.0,ads,C,0
26,47.27,489,1,0.0,month-to-month,1,2,7.0,referral,A,0
23,126.68,447,2,0.0,one-year,1,4,8.0,ads,A,0
21,134.55,352,5,7.8,month-to-month,0,4,4.0,partner,A,1
48,116.18,625,2,7.2,one-year,1,6,10.0,partner,B,0
18,149.36,366,4,3.5,month-to-month,1,4,4.0,partner,B,0
27,30.02,406,2,4.3,month-to-month,0,3,7.0,ads,C,0
57,29.6,507,2,0.0,two-year,0,4,7.0,organic,C,0
35,101.51,481,5,7.3,month-to-month,0,3,5.0,partner,C,0
33,62.82,254,4,3.5,month-to-month,1,3,6.0,organic,B,0
41,77.1,397,4,0.4,month-to-month,1,4,4.0,ads,C,0
13,115.63,394,4,8.8,month-to-month,0,3,5.0,ads,B,0
68,137.57,590,4,5.2,month-to-month,0,1,7.0,ads,A,0
37,50.94,482,4,1.1,two-year,0,5,5.0,ads,A,0
65,42.9,649,3,0.0,two-year,1,5,10.0,referral,A,0
33,117.64,409,4,9.9,month-to-month,0,1,3.0,ads,B,1
60,130.41,413,2,0.9,one-year,1,3,7.0,ads,B,0
22,120.61,409,4,6.0,month-to-month,0,2,2.0,ads,A,1
38,36.62,479,3,5.9,one-year,1,6,10.0,organic,A,0
22,118.68,777,3,1.8,month-to-month,1,3,4.0,ads,B,1
34,77.04,434,1,0.0,one-year,1,2,8.0,referral,A,0
19,99.19,304,3,4.1,two-year,0,1,4.0,ads,A,0
27,72.29,463,4,4.4,month-to-month,1,3,6.0,organic,A,1
11,21.75,333,5,0.2,month-to-month,1,4,7.0,referral,A,0
46,149.51,349,5,8.1,one-year,0,2,7.0,organic,A,0
70,42.86,445,1,0.0,one-year,1,3,6.0,referral,A,0
55,107.53,657,3,0.2,month-to-month,0,3,5.0,ads,C,0
47,48.81,383,5,8.1,one-year,0,1,7.0,ads,A,0
42,24.82,459,1,0.0,month-to-month,1,2,9.0,organic,B,0
30,148.55,417,2,2.2,two-year,1,1,6.0,referral,C,0
34,20.84,507,3,1.1,one-year,1,2,8.0,referral,B,1
53,100.3,123,5,0.0,month-to-month,1,4,7.0,organic,C,0
29,116.19,383,3,4.4,month-to-month,0,1,4.0,ads,A,1
28,93.54,403,4,5.6,month-to-month,0,3,6.0,ads,C,1
64,119.91,453,2,1.7,one-year,0,1,9.0,referral,A,0
49,42.18,520,0,4.3,one-year,1,4,8.0,organic,C,0
23,23.1,598,3,6.3,month-to-month,0,2,7.0,ads,A,1
27,89.54,433,3,8.5,one-year,0,2,5.0,organic,B,0
62,76.41,620,0,0.0,month-to-month,0,5,10.0,referral,A,0
45,119.69,525,1,9.4,one-year,0,1,5.0,ads,B,0
51,27.91,568,3,1.0,month-to-month,1,4,7.0,referral,B,0
62,26.97,475,3,7.2,one-year,0,4,4.0,ads,B,0
58,63.67,464,2,6.0,month-to-month,0,2,6.0,organic,B,0
56,122.8,600,1,0.0,month-to-month,1,2,9.0,ads,B,0
33,80.93,478,2,7.6,two-year,0,4,9.0,organic,B,0
26,122.31,489,0,4.6,month-to-month,1,3,10.0,ads,B,0
46,103.1,301,5,1.8,one-year,1,5,9.0,organic,B,0
48,75.76,421,5,12.7,month-to-month,1,4,7.0,partner,C,0
72,128.52,378,2,0.0,month-to-month,1,3,7.0,organic,A,0
39,106.59,544,4,5.0,month-to-month,1,2,5.0,ads,A,1
57,74.62,491,3,5.3,two-year,0,3,9.0,ads,C,0
31,34.51,503,3,0.1,two-year,1,3,8.0,organic,C,0
47,67.62,391,1,1.1,one-year,1,3,5.0,referral,C,0
55,27.64,367,2,6.2,month-to-month,0,3,9.0,referral,C,0
1,82.83,460,8,4.5,month-to-month,0,2,6.0,ads,C,1
55,27.13,578,1,1.2,two-year,0,3,8.0,referral,B,0
38,120.15,302,1,4.5,one-year,0,2,6.0,referral,A,0
26,66.29,359,5,15.7,month-to-month,1,2,3.0,organic,A,0
32,99.27,677,0,0.0,two-year,0,4,4.0,ads,C,0
9,59.64,286,1,5.7,two-year,1,3,7.0,organic,C,0
38,134.7,569,3,3.1,two-year,0,1,8.0,ads,C,0
42,83.9,203,1,0.0,month-to-month,1,2,7.0,organic,A,0
23,117.21,342,2,3.1,one-year,1,4,10.0,ads,A,0
27,105.84,526,1,0.0,month-to-month,1,3,6.0,organic,A,0
45,111.15,354,2,5.2,month-to-month,1,3,7.0,ads,B,0
38,87.16,373,1,3.6,month-to-month,0,3,6.0,partner,B,1
12,149.82,200,4,0.0,two-year,1,2,7.0,organic,B,0
15,33.15,301,2,5.1,month-to-month,1,2,8.0,referral,C,0
22,86.05,219,4,7.1,month-to-month,1,2,6.0,ads,B,0
41,67.58,253,3,13.4,two-year,1,2,7.0,organic,A,0
48,66.73,514,4,6.1,month-to-month,0,3,6.0,organic,B,0
36,118.06,251,4,0.0,one-year,1,3,3.0,organic,C,0
20,20.96,457,3,4.4,month-to-month,0,3,4.0,partner,C,1
34,70.05,405,2,7.7,one-year,0,3,7.0,ads,B,0
28,73.36,278,3,0.0,one-year,1,1,6.0,referral,A,0
41,85.82,266,5,2.4,month-to-month,0,6,6.0,referral,A,1
17,71.32,496,2,5.4,month-to-month,1,3,5.0,ads,A,0
52,58.18,506,3,1.2,month-to-month,0,3,8.0,referral,B,0
22,91.54,575,6,14.7,month-to-month,0,2,3.0,ads,A,1
18,138.0,398,2,9.0,one-year,0,2,5.0,ads,C,0
18,62.54,359,4,6.3,month-to-month,1,2,4.0,ads,C,1
13,33.73,182,6,1.0,month-to-month,0,2,3.0,referral,B,1
30,85.0,418,3,0.0,one-year,1,3,7.0,referral,A,0
49,129.6,239,1,0.0,month-to-month,0,5,10.0,referral,B,0
11,37.88,345,3,1.1,month-to-month,1,3,5.0,ads,A,1
31,130.35,376,2,0.0,one-year,0,3,6.0,ads,C,0
50,112.66,286,2,5.0,one-year,0,4,8.0,partner,A,0
32,92.67,599,1,7.2,one-year,0,3,9.0,ads,B,1
28,78.17,743,2,2.8,one-year,0,5,6.0,referral,C,0
33,74.53,610,5,9.6,month-to-month,0,1,5.0,organic,A,1
32,114.36,605,2,3.0,month-to-month,1,2,5.0,ads,A,0
28,81.68,482,4,5.5,month-to-month,0,1,7.0,referral,A,0
65,105.03,544,4,7.0,one-year,0,1,6.0,organic,A,0
69,24.81,524,0,0.0,one-year,0,3,8.0,ads,A,0
43,142.25,366,1,2.7,month-to-month,1,4,3.0,ads,B,0
33,78.71,579,3,0.0,two-year,0,5,9.0,ads,C,0
56,138.82,346,3,2.2,month-to-month,1,4,10.0,ads,C,0
6,101.94,573,2,8.9,month-to-month,1,5,7.0,organic,C,0
35,105.94,533,1,1.7,month-to-month,1,2,4.0,ads,B,0
45,45.5,397,3,0.0,month-to-month,1,4,8.0,ads,C,0
48,29.23,271,7,7.8,month-to-month,1,4,4.0,ads,A,0
37,48.23,525,5,10.5,two-year,1,3,5.0,ads,C,0
41,89.56,300,2,6.3,one-year,1,3,7.0,ads,C,0
39,24.64,478,3,2.9,one-year,1,3,8.0,referral,B,0
61,134.14,465,0,1.3,two-year,1,5,10.0,referral,A,0
33,75.1,438,2,0.0,month-to-month,1,4,8.0,ads,B,0
49,83.0,454,2,0.0,month-to-month,1,5,6.0,referral,A,0
28,38.69,387,8,9.0,one-year,0,3,6.0,partner,C,1
49,131.65,307,1,2.7,month-to-month,0,3,8.0,partner,B,0
11,105.76,491,3,7.1,one-year,1,4,5.0,ads,C,0
69,31.53,680,0,3.6,month-to-month,1,3,7.0,referral,B,0
38,44.1,552,5,1.5,month-to-month,1,3,8.0,partner,A,0
25,26.46,510,9,8.5,month-to-month,0,2,8.0,organic,A,1
64,99.96,361,4,4.8,month-to-month,1,2,7.0,partner,C,0
1,36.1,783,3,8.6,month-to-month,0,2,2.0,partner,A,1
24,83.0,492,4,15.5,one-year,0,2,1.0,ads,A,1
21,111.99,461,9,0.0,month-to-month,0,6,7.0,partner,B,1
37,88.48,524,5,2.8,month-to-month,1,5,7.0,organic,A,0
35,81.1,291,3,2.0,month-to-month,0,5,6.0,referral,B,1
37,32.66,451,0,0.0,month-to-month,0,5,10.0,referral,B,0
39,87.04,531,2,0.0,month-to-month,1,5,10.0,referral,B,0
28,29.35,431,2,1.8,one-year,1,4,6.0,partner,B,0
44,21.8,220,4,6.9,one-year,0,2,5.0,partner,A,0
72,130.49,519,2,0.0,two-year,0,3,7.0,ads,A,0
40,140.88,388,7,11.8,month-to-month,0,1,6.0,ads,B,0
46,20.29,581,2,0.8,month-to-month,1,5,8.0,referral,C,0
40,103.65,416,0,0.0,month-to-month,1,2,9.0,organic,A,0
28,50.13,312,3,4.5,one-year,0,3,4.0,ads,A,1
42,80.37,445,3,10.6,month-to-month,1,2,6.0,partner,B,0
50,86.3,436,1,0.0,month-to-month,1,2,10.0,referral,C,0
15,85.47,545,2,0.0,month-to-month,0,3,5.0,referral,C,0
43,103.29,480,3,0.0,month-to-month,0,3,8.0,organic,B,0
28,46.47,326,5,19.5,month-to-month,1,3,3.0,organic,B,1
39,117.66,494,5,10.2,month-to-month,0,2,8.0,ads,A,0
33,48.82,539,3,1.5,month-to-month,1,1,9.0,organic,A,0
47,136.31,318,5,0.0,month-to-month,1,3,8.0,referral,A,1
1,29.85,446,2,2.0,one-year,1,2,9.0,ads,B,0
